city,neighborhood,neighborhood_is_generic,property_type,surface_m2,bedrooms,bathrooms,floor,price_dh,floor_known,surface_known,rooms_info_known,floor_appartement
Safi,quartier_aérodrome,False,Appartement,77.0,2.0,1.0,1.0,1580000.0,1,1,1,1.0
El-jadida,asilah,False,Appartement,105.0,2.0,2.0,3.0,3720000.0,1,1,1,3.0
El-jadida,sidi_moumen,False,Appartement,49.0,2.0,1.0,4.0,4300000.0,1,1,1,4.0
El-jadida,ville_verte,False,Appartement,219.0,3.0,3.0,1.0,13200000.0,1,1,1,1.0
El-jadida,najmat_al_janoub,False,Appartement,66.0,2.0,1.0,1.0,1500000.0,1,1,1,1.0
El-jadida,tamesna,False,Appartement,80.0,2.0,1.0,2.0,2750000.0,1,0,0,2.0
El-jadida,deroua,False,Appartement,80.0,3.0,2.0,2.0,2520000.0,1,0,1,2.0
El-jadida,sidi_bernoussi,False,Appartement,56.0,2.0,2.0,0.0,370000.0,1,1,1,0.0
Dakhla,dakhla,False,Appartement,65.0,3.0,1.0,1.0,1503750.0,1,1,1,1.0
El-jadida,ahlane,False,Appartement,56.0,2.0,1.0,2.0,2400000.0,1,1,1,2.0
El-jadida,dar_bouazza,False,Appartement,53.0,2.0,1.0,2.0,2280000.0,1,1,1,2.0
El-jadida,ksar_el_kebir,False,Appartement,88.0,3.0,2.0,2.0,2530000.0,1,1,1,2.0
El-jadida,al_kawtar,False,Appartement,88.0,2.0,2.0,2.0,2792000.0,1,1,1,2.0
El-jadida,autre_secteur,True,Appartement,80.0,3.0,2.0,2.0,2950000.0,1,0,1,2.0
El-jadida,oued_laou,False,Appartement,75.0,2.0,1.0,6.0,6400000.0,1,1,1,6.0
El-jadida,said_hajji,False,Appartement,80.0,3.0,1.0,4.0,1200000.0,1,0,1,4.0
El-jadida,bouskoura_centre,False,Appartement,80.0,1.0,1.0,4.0,410000.0,1,0,1,4.0
El-jadida,autre_secteur,True,Appartement,130.0,3.0,2.0,0.0,860000.0,1,1,1,0.0
El-jadida,oulfa,False,Appartement,50.0,2.0,1.0,4.0,4360000.0,1,1,1,4.0
El-jadida,autre_secteur,True,Appartement,78.0,2.0,2.0,2.0,2450000.0,1,1,1,2.0
El-jadida,autre_secteur,True,Appartement,76.0,3.0,2.0,1.0,1620000.0,1,1,1,1.0
El-jadida,autre_secteur,True,Appartement,80.0,2.0,1.0,3.0,3840000.0,1,0,1,3.0
El-jadida,autre_secteur,True,Appartement,76.0,2.0,1.0,2.0,2840000.0,1,1,1,2.0
El-jadida,saidia,False,Appartement,80.0,2.0,2.0,1.0,1650000.0,1,1,1,1.0
El-jadida,sidi_rahal,False,Appartement,78.0,2.0,2.0,0.0,950000.0,1,1,1,0.0
El-jadida,tabriquet,False,Appartement,80.0,3.0,2.0,3.0,1850000.0,1,0,1,3.0
El-jadida,said_hajji,False,Appartement,68.0,2.0,2.0,4.0,4750000.0,1,1,1,4.0
El-jadida,asilah,False,Appartement,104.0,3.0,2.0,3.0,3730000.0,1,1,1,3.0
El-jadida,massira_2,False,Appartement,67.0,2.0,1.0,3.0,3560000.0,1,1,1,3.0
